feature,mean_abs_shap
num__floor_area_sqm,63522.81870702637
num__year,46792.08822758182
num__hist_price_psm,36848.14802804746
num__lease_commence_date,34820.16439211822
num__dist_cbd_km,31680.3665198596
cat__flat_type,29474.977380746324
num__is_mature,18989.98234447509
num__storey_mid,18642.350788150914
num__dist_to_closest_mrt_km,14218.549418861596
num__remaining_lease_yrs,7796.724377434035
cat__flat_model,5938.14030171615
num__month_num,4555.183197535303
cat__town,3557.982237191601
num__dist_to_closest_shopping_mall_km,3054.841436971898
num__flat_age,2767.8365479183203
num__primary_schools_within_2km,2373.543616864202
num__mrt_within_500m,2246.386573012472
num__malls_within_1km,1621.4309359968638
num__mrt_within_1km,1201.751613300052
num__dist_to_closest_primary_school_km,963.0513956526777
num__primary_schools_within_1km,589.2431078608931
num__malls_within_500m,587.3080784128045
num__min_distance_to_regional_hub_km,208.97447644905571
